stimolazione,inizio,marker,image_file,volume,start,trigger,img,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,Loop_trials.thisRepN,Loop_trials.thisTrialN,Loop_trials.thisN,Loop_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,ISI.started,ISI.stopped,polygon.started,polygon.stopped,ISI_4.started,ISI_4.stopped,image_prova.started,image_prova.stopped,p_port.started,p_port.stopped,sound_1.started,sound_1.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,polygon_2.started,polygon_2.stopped,ISI_5.started,ISI_5.stopped,image.started,image.stopped,sound_2.started,sound_2.stopped,p_port_2.started,p_port_2.stopped,sound_3.started,sound_3.stopped,polygon_3.started,polygon_3.stopped,text_6.started,text_6.stopped,p_port_3.started,p_port_3.stopped,text_8.started,text_8.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,1,0.245,32,stimoli/disgust_image_004.jpg,,,,,,,,,0,0,0,0,0,11,11,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.65173652717658,None,0.005075032907370769,None,157.55663647047095,None,157.79123509541233,None,0.005670799452673236,0.08457755260678823,159.25955442756396,None,158.36107205263124,159.16217358728773,159.1552007933724,None,0.8049510364890011,0.8188700032587803,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,1,0.245,32,stimoli/disgust_image_004.jpg,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,0,0.95,30,stimoli/disgust_image_009.jpg,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.95630329023516,None,0.005047128901424003,None,160.8746218526212,161.67596137315923,161.81513984717577,None,0.006397682748684019,0.01570190439997532,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,1,0.105,31,stimoli/disgust_image_019.jpg,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.8989544657952,None,0.00531847129605012,None,162.7055963887733,None,162.81932673088278,None,0.006334914774924982,0.11496296144287044,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,1,0.105,31,stimoli/disgust_image_004.jpg,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.50602630289268,None,0.005303075983647432,None,164.30872189393176,None,164.42944138747708,None,0.006128681725385832,0.01471637984377594,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,1,0.105,31,stimoli/disgust_image_005.jpg,,,,,,,,,0,0,0,0,0,15,15,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.11239669103452,None,0.005286718464049045,None,166.01679564517963,None,166.13745708556445,None,3.925804867321858e-05,0.019107636331682443,167.8586761890959,None,166.82095026287516,167.62203223265442,167.61505719358865,None,0.8050363521824693,0.8189543567450528,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,1,0.105,31,stimoli/disgust_image_005.jpg,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,0,0.95,40,stimoli/happy_image_001.jpg,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.41612505099692,None,0.005057713179667189,None,169.24498369379762,170.04902605400184,170.19516705839243,None,0.00035264889265818056,0.00903752992508089,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,1,0.105,31,stimoli/disgust_image_003.jpg,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.2928441942995,None,0.005324244538314815,None,171.09894888499457,None,171.21964849292755,None,0.00598050183543819,0.014594821016544302,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
,,,,0,0.95,30,stimoli/disgust_image_012.jpg,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.9041968906604,None,0.0052953783260818454,None,172.80660151028042,173.60992542253734,173.6585069689457,None,0.0035692109131559846,0.10748180145765218,,,,,,,,,,,,,,,,,,,,,,,3,001,2023_Nov_16_1138,experiment_old_ver,2020.1.3,143.72393192331958,
